Year,Sanctuary,Status,Site,Observer,Replicate,Sampling.location,Depth,Time,Complexity,Algal.cover,Sample,Latitude,Longitude,Successful.count,Successful.length,Date,Location
2017,Armstrong Bay,Fished,City of York,2,2,inner west,1,12:00:00,1,3,1357,-31.994655,115.495719,Yes,Yes,20170127,
2017,Armstrong Bay,Fished,City of York,2,3,inner west,1,12:00:00,3,3,1358,-31.994655,115.495719,Yes,Yes,20170127,
2017,Armstrong Bay,Fished,City of York,2,4,inner west,1,12:00:00,3,3,1359,-31.994655,115.495719,Yes,Yes,20170127,
2017,Armstrong Bay,Fished,City of York,2,5,inner west,1,12:00:00,3,3,1360,-31.994655,115.495719,Yes,Yes,20170127,
2017,Armstrong Bay,Fished,City of York,2,6,inner west,1,12:00:00,2,3,1361,-31.994655,115.495719,Yes,Yes,20170127,
2017,Armstrong Bay,Fished,City of York,2,7,inner west,1,12:00:00,3,3,1362,-31.994655,115.495719,Yes,Yes,20170127,
2017,Armstrong Bay,Fished,City of York,2,8,inner west,1,12:00:00,2,3,1363,-31.994655,115.495719,Yes,Yes,20170127,
2017,Armstrong Bay,Fished,City of York,2,9,inner west,1,12:00:00,2,3,1364,-31.994655,115.495719,Yes,Yes,20170127,
2017,Armstrong Bay,Fished,City of York,2,10,inner west,1,12:00:00,4,3,1365,-31.994655,115.495719,Yes,Yes,20170127,
2017,Armstrong Bay,Fished,City of York,3,1,East inner reef,1,12:00:00,4,1,1366,-31.994655,115.495719,Yes,Yes,20170127,
2017,Armstrong Bay,Fished,City of York,3,2,East inner reef,1,12:00:00,3,3,1367,-31.994655,115.495719,Yes,Yes,20170127,
2017,Armstrong Bay,Fished,City of York,3,3,East inner reef,1,12:00:00,3,1,1368,-31.994655,115.495719,Yes,Yes,20170127,
2017,Armstrong Bay,Fished,City of York,3,4,East inner reef,1,12:00:00,3,3,1369,-31.994655,115.495719,Yes,Yes,20170127,
2017,Armstrong Bay,Fished,City of York,3,5,East inner reef,1,12:00:00,0,1,1370,-31.994655,115.495719,Yes,Yes,20170127,
2017,Armstrong Bay,Fished,City of York,3,6,East inner reef,1,12:00:00,4,1,1371,-31.994655,115.495719,Yes,Yes,20170127,
2017,Armstrong Bay,Fished,City of York,3,7,East inner reef,1,12:00:00,4,3,1372,-31.994655,115.495719,Yes,Yes,20170127,
2017,Armstrong Bay,Fished,City of York,3,8,East inner reef,1,12:00:00,4,3,1373,-31.994655,115.495719,Yes,Yes,20170127,
2017,Armstrong Bay,Fished,City of York,3,9,East inner reef,1,12:00:00,1,3,1374,-31.994655,115.495719,Yes,Yes,20170127,
2017,Armstrong Bay,Fished,City of York,3,10,East inner reef,1,12:00:00,2,3,1375,-31.994655,115.495719,Yes,Yes,20170127,
2017,Armstrong Bay,Fished,City of York,4,1,WestOut,1,12:00:00,1,2,1376,-31.994655,115.495719,Yes,Yes,20170127,
2017,Armstrong Bay,Fished,City of York,4,2,WestOut,1,12:00:00,1,2,1377,-31.994655,115.495719,Yes,Yes,20170127,
2017,Armstrong Bay,Fished,City of York,4,3,WestOut,1,12:00:00,1,2,1378,-31.994655,115.495719,Yes,Yes,20170127,
2017,Armstrong Bay,Fished,City of York,4,4,WestOut,1,12:00:00,1,1,1379,-31.994655,115.495719,Yes,Yes,20170127,
2017,Armstrong Bay,Fished,City of York,4,5,WestOut,1,12:00:00,2,3,1380,-31.994655,115.495719,Yes,Yes,20170127,
2017,Armstrong Bay,Fished,City of York,4,6,WestOut,1,12:00:00,4,3,1381,-31.994655,115.495719,Yes,Yes,20170127,
2017,Armstrong Bay,Fished,City of York,4,7,WestOut,1,12:00:00,1,3,1382,-31.994655,115.495719,Yes,Yes,20170127,
2017,Armstrong Bay,Fished,City of York,4,8,WestOut,1,12:00:00,3,1,1383,-31.994655,115.495719,Yes,Yes,20170127,
2017,Armstrong Bay,Fished,City of York,4,9,WestOut,1,12:00:00,0,2,1384,-31.994655,115.495719,Yes,Yes,20170127,
2017,Armstrong Bay,Fished,City of York,4,10,WestOut,1,12:00:00,1,3,1385,-31.994655,115.495719,Yes,Yes,20170127,
2017,Armstrong Bay,Fished,Geordie Bay,1,1,Outer Island,1,12:00:00,1,3,1386,-31.988813,115.522852,Yes,Yes,20170121,
2017,Armstrong Bay,Fished,Geordie Bay,1,2,Outer Island,1,12:00:00,3,3,1387,-31.988813,115.522852,Yes,Yes,20170121,
2017,Armstrong Bay,Fished,Geordie Bay,1,3,Outer Island,1,12:00:00,1,3,1388,-31.988813,115.522852,Yes,Yes,20170121,
2017,Armstrong Bay,Fished,Geordie Bay,1,4,Outer Island,1,12:00:00,2,1,1389,-31.988813,115.522852,Yes,Yes,20170121,
2017,Armstrong Bay,Fished,Geordie Bay,1,5,Outer Island,1,12:00:00,2,1,1390,-31.988813,115.522852,Yes,Yes,20170121,
