Year,Sanctuary,Status,Site,Observer,Replicate,Sampling.location,Depth,Gps,Way.point,D,Time,Complexity,Algal.cover,Sample,Latitude,Longitude,Successful.count,Successful.length,Date,Location
2014,Armstrong Bay,Fished,City of York,none,78,none,1,jane1,75,12/30/1899,10:55:00,2,2,78,-31.994655,115.495719,Yes,Yes,20140125,
2014,Armstrong Bay,Fished,City of York,none,79,none,1,ncb1,49,12/30/1899,10:32:00,2,3,79,-31.994655,115.495719,Yes,Yes,20140125,
2014,Armstrong Bay,Fished,City of York,none,80,none,1,ncb1,50,12/30/1899,10:34:00,3,2,80,-31.994655,115.495719,Yes,Yes,20140125,
2014,Armstrong Bay,Fished,City of York,none,81,none,1,ncb1,51,12/30/1899,10:41:00,3,1,81,-31.994655,115.495719,Yes,Yes,20140125,
2014,Armstrong Bay,Fished,City of York,none,82,none,1,ncb1,52,12/30/1899,10:43:00,2,2,82,-31.994655,115.495719,Yes,Yes,20140125,
2014,Armstrong Bay,Fished,City of York,none,83,none,1,ncb1,53,12/30/1899,10:45:00,3,2,83,-31.994655,115.495719,Yes,Yes,20140125,
2014,Armstrong Bay,Fished,City of York,none,84,none,1,ncb1,54,12/30/1899,10:47:00,4,2,84,-31.994655,115.495719,Yes,Yes,20140125,
2014,Armstrong Bay,Fished,City of York,none,85,none,1,ncb1,55,12/30/1899,10:54:00,3,3,85,-31.994655,115.495719,Yes,Yes,20140125,
2014,Armstrong Bay,Fished,City of York,none,86,none,1,ncb1,56,12/30/1899,10:55:00,2,2,86,-31.994655,115.495719,Yes,Yes,20140125,
2014,Armstrong Bay,Fished,City of York,none,87,none,1,ncb1,57,12/30/1899,11:00:00,1,2,87,-31.994655,115.495719,Yes,Yes,20140125,
2014,Armstrong Bay,Fished,City of York,none,88,none,1,ncb1,59,12/30/1899,11:05:00,3,2,88,-31.994655,115.495719,Yes,Yes,20140125,
2014,Armstrong Bay,Fished,Ricey Beach,none,89,none,1,black,59,12/30/1899,11:00:00,2,2,89,-31.999667,115.48882,Yes,Yes,20140126,
2014,Armstrong Bay,Fished,Ricey Beach,none,90,none,1,black,60,12/30/1899,11:02:00,2,3,90,-31.999667,115.48882,Yes,Yes,20140126,
2014,Armstrong Bay,Fished,Ricey Beach,none,91,none,1,black,61,12/30/1899,11:04:00,2,3,91,-31.999667,115.48882,Yes,Yes,20140126,
2014,Armstrong Bay,Fished,Ricey Beach,none,92,none,1,black,62,12/30/1899,11:06:00,1,3,92,-31.999667,115.48882,Yes,Yes,20140126,
2014,Armstrong Bay,Fished,Ricey Beach,none,93,none,1,black,63,12/30/1899,11:08:00,1,3,93,-31.999667,115.48882,Yes,Yes,20140126,
2014,Armstrong Bay,Fished,Ricey Beach,none,94,none,1,black,64,12/30/1899,11:09:00,4,3,94,-31.999667,115.48882,Yes,Yes,20140126,
2014,Armstrong Bay,Fished,Ricey Beach,none,95,none,1,black,65,12/30/1899,11:12:00,3,1,95,-31.999667,115.48882,Yes,Yes,20140126,
2014,Armstrong Bay,Fished,Ricey Beach,none,96,none,1,black,66,12/30/1899,11:13:00,0,2,96,-31.999667,115.48882,Yes,Yes,20140126,
2014,Armstrong Bay,Fished,Ricey Beach,none,97,none,1,black,67,12/30/1899,11:15:00,3,1,97,-31.999667,115.48882,Yes,Yes,20140126,
2014,Armstrong Bay,Fished,Ricey Beach,none,98,none,1,black,68,12/30/1899,11:18:00,2,0,98,-31.999667,115.48882,Yes,Yes,20140126,
2014,Armstrong Bay,Fished,Ricey Beach,none,99,none,1,jane1,87,12/30/1899,11:03:00,2,1,99,-31.999667,115.48882,Yes,Yes,20140126,
2014,Armstrong Bay,Fished,Ricey Beach,none,100,none,1,jane1,88,12/30/1899,11:05:00,1,2,100,-31.999667,115.48882,Yes,Yes,20140126,
2014,Armstrong Bay,Fished,Ricey Beach,none,101,none,1,jane1,89,12/30/1899,11:07:00,4,2,101,-31.999667,115.48882,Yes,Yes,20140126,
2014,Armstrong Bay,Fished,Ricey Beach,none,102,none,1,jane1,90,12/30/1899,11:11:00,3,2,102,-31.999667,115.48882,Yes,Yes,20140126,
2014,Armstrong Bay,Fished,Ricey Beach,none,103,none,1,jane1,91,12/30/1899,11:14:00,3,2,103,-31.999667,115.48882,Yes,Yes,20140126,
2014,Armstrong Bay,Fished,Ricey Beach,none,104,none,1,jane1,92,12/30/1899,11:17:00,1,2,104,-31.999667,115.48882,Yes,Yes,20140126,
2014,Armstrong Bay,Fished,Ricey Beach,none,105,none,1,jane1,93,12/30/1899,11:19:00,4,2,105,-31.999667,115.48882,Yes,Yes,20140126,
2014,Armstrong Bay,Fished,Ricey Beach,none,106,none,1,jane1,94,12/30/1899,11:21:00,2,2,106,-31.999667,115.48882,Yes,Yes,20140126,
2014,Armstrong Bay,Fished,Ricey Beach,none,107,none,1,jane1,95,12/30/1899,11:24:00,2,2,107,-31.999667,115.48882,Yes,Yes,20140126,
2014,Armstrong Bay,Fished,Ricey Beach,none,108,none,1,jane1,96,12/30/1899,11:25:00,1,2,108,-31.999667,115.48882,Yes,Yes,20140126,
2014,Armstrong Bay,Fished,Ricey Beach,none,109,none,1,ncb1,60,12/30/1899,11:04:00,4,2,109,-31.999667,115.48882,Yes,Yes,20140126,
2014,Armstrong Bay,Fished,Ricey Beach,none,110,none,1,ncb1,61,12/30/1899,11:05:00,2,3,110,-31.999667,115.48882,Yes,Yes,20140126,
2014,Armstrong Bay,Fished,Ricey Beach,none,111,none,1,ncb1,62,12/30/1899,11:07:00,1,3,111,-31.999667,115.48882,Yes,Yes,20140126,
2014,Armstrong Bay,Fished,Ricey Beach,none,112,none,1,ncb1,63,12/30/1899,11:10:00,4,1,112,-31.999667,115.48882,Yes,Yes,20140126,
2014,Armstrong Bay,Fished,Ricey Beach,none,113,none,1,ncb1,64,12/30/1899,11:16:00,1,3,113,-31.999667,115.48882,Yes,Yes,20140126,
2014,Armstrong Bay,Fished,Ricey Beach,none,114,none,1,ncb1,65,12/30/1899,11:18:00,2,2,114,-31.999667,115.48882,Yes,Yes,20140126,
2014,Armstrong Bay,Fished,Ricey Beach,none,115,none,1,ncb1,66,12/30/1899,11:20:00,3,2,115,-31.999667,115.48882,Yes,Yes,20140126,
2014,Armstrong Bay,Fished,Ricey Beach,none,116,none,1,ncb1,67,12/30/1899,11:26:00,2,3,116,-31.999667,115.48882,Yes,Yes,20140126,
2014,Armstrong Bay,Fished,Ricey Beach,none,117,none,1,ncb1,68,12/30/1899,11:28:00,2,3,117,-31.999667,115.48882,Yes,Yes,20140126,
2014,Armstrong Bay,Fished,Ricey Beach,none,118,none,1,ncb1,69,12/30/1899,11:30:00,4,1,118,-31.999667,115.48882,Yes,Yes,20140126,
2014,Parker Point,No-take,Parker Point,none,119,none,1,black,17,12/30/1899,9:12:00,2,2,119,-32.025693,115.529321,Yes,Yes,20140124,
2014,Parker Point,No-take,Parker Point,none,120,none,1,black,18,12/30/1899,9:21:00,1,3,120,-32.025693,115.529321,Yes,Yes,20140124,
2014,Parker Point,No-take,Parker Point,none,121,none,1,black,19,12/30/1899,9:29:00,3,2,121,-32.025693,115.529321,Yes,Yes,20140124,
2014,Parker Point,No-take,Parker Point,none,122,none,1,black,20,12/30/1899,9:39:00,2,2,122,-32.025693,115.529321,Yes,Yes,20140124,
2014,Parker Point,No-take,Parker Point,none,123,none,1,black,21,12/30/1899,9:43:00,1,3,123,-32.025693,115.529321,Yes,Yes,20140124,
2014,Parker Point,No-take,Parker Point,none,124,none,1,black,22,12/30/1899,9:45:00,3,3,124,-32.025693,115.529321,Yes,Yes,20140124,
2014,Parker Point,No-take,Parker Point,none,125,none,1,black,23,12/30/1899,9:48:00,3,3,125,-32.025693,115.529321,Yes,Yes,20140124,
2014,Parker Point,No-take,Parker Point,none,126,none,1,black,24,12/30/1899,9:52:00,1,3,126,-32.025693,115.529321,Yes,Yes,20140124,
2014,Parker Point,No-take,Parker Point,none,127,none,1,black,25,12/30/1899,9:54:00,3,3,127,-32.025693,115.529321,Yes,Yes,20140124,
2014,Parker Point,No-take,Parker Point,none,128,none,1,black,26,12/30/1899,9:59:00,1,1,128,-32.025693,115.529321,Yes,Yes,20140124,
2014,Parker Point,No-take,Parker Point,none,129,none,1,black,17,12/30/1899,9:12:00,2,2,129,-32.025693,115.529321,Yes,Yes,20140124,
2014,Parker Point,No-take,Parker Point,none,130,none,1,black,18,12/30/1899,9:21:00,1,3,130,-32.025693,115.529321,Yes,Yes,20140124,
2014,Parker Point,No-take,Parker Point,none,131,none,1,black,19,12/30/1899,9:29:00,3,2,131,-32.025693,115.529321,Yes,Yes,20140124,
2014,Parker Point,No-take,Parker Point,none,132,none,1,black,20,12/30/1899,9:39:00,2,2,132,-32.025693,115.529321,Yes,Yes,20140124,
2014,Parker Point,No-take,Parker Point,none,133,none,1,black,21,12/30/1899,9:43:00,1,3,133,-32.025693,115.529321,Yes,Yes,20140124,
2014,Parker Point,No-take,Parker Point,none,134,none,1,black,22,12/30/1899,9:45:00,3,3,134,-32.025693,115.529321,Yes,Yes,20140124,
2014,Parker Point,No-take,Parker Point,none,135,none,1,black,23,12/30/1899,9:48:00,3,3,135,-32.025693,115.529321,Yes,Yes,20140124,
2014,Parker Point,No-take,Parker Point,none,136,none,1,black,24,12/30/1899,9:52:00,1,3,136,-32.025693,115.529321,Yes,Yes,20140124,
2014,Parker Point,No-take,Parker Point,none,137,none,1,black,25,12/30/1899,9:54:00,3,3,137,-32.025693,115.529321,Yes,Yes,20140124,
2014,Parker Point,No-take,Parker Point,none,138,none,1,black,26,12/30/1899,9:59:00,1,1,138,-32.025693,115.529321,Yes,Yes,20140124,
2014,Parker Point,No-take,Parker Point,none,139,none,1,jane1,19,12/30/1899,9:16:00,2,1,139,-32.025693,115.529321,Yes,Yes,20140124,
2014,Parker Point,No-take,Parker Point,none,140,none,1,jane1,20,12/30/1899,9:23:00,2,2,140,-32.025693,115.529321,Yes,Yes,20140124,
2014,Parker Point,No-take,Parker Point,none,141,none,1,jane1,21,12/30/1899,9:30:00,1,2,141,-32.025693,115.529321,Yes,Yes,20140124,
2014,Parker Point,No-take,Parker Point,none,142,none,1,jane1,22,12/30/1899,9:37:00,1,2,142,-32.025693,115.529321,Yes,Yes,20140124,
2014,Parker Point,No-take,Parker Point,none,143,none,1,jane1,23,12/30/1899,9:44:00,1,1,143,-32.025693,115.529321,Yes,Yes,20140124,
2014,Parker Point,No-take,Parker Point,none,144,none,1,jane1,24,12/30/1899,9:53:00,2,1,144,-32.025693,115.529321,Yes,Yes,20140124,
2014,Parker Point,No-take,Parker Point,none,145,none,1,ncb8,15,12/30/1899,9:11:00,0,3,145,-32.025693,115.529321,Yes,Yes,20140124,
2014,Parker Point,No-take,Parker Point,none,146,none,1,ncb7,16,12/30/1899,9:11:00,1,2,146,-32.025693,115.529321,Yes,Yes,20140124,
2014,Parker Point,No-take,Parker Point,none,147,none,1,ncb6,17,12/30/1899,9:21:00,4,1,147,-32.025693,115.529321,Yes,Yes,20140124,
2014,Parker Point,No-take,Parker Point,none,148,none,1,ncb5,18,12/30/1899,9:34:00,1,1,148,-32.025693,115.529321,Yes,Yes,20140124,
2014,Parker Point,No-take,Parker Point,none,149,none,1,ncb4,19,12/30/1899,9:34:00,2,2,149,-32.025693,115.529321,Yes,Yes,20140124,
2014,Parker Point,No-take,Parker Point,none,150,none,1,ncb3,20,12/30/1899,9:48:00,4,2,150,-32.025693,115.529321,Yes,Yes,20140124,
